Weight,Wrestler,School,Seed,Team Name
125,Sheldon Seymour,Lehigh,#8,Hank Beaman
133,Nic Bouzakis,Ohio State,#9,Hank Beaman
141,Jacob Frost,Iowa State,#9,Hank Beaman
149,Colin Realbuto,Northern Iowa,#10,Hank Beaman
157,Antrell Taylor,Nebraska,#3,Hank Beaman
165,Peyton Hall,West Virginia,#2,Hank Beaman
174,Alex Cramer,Central Michigan,#10,Hank Beaman
184,Chris Foca,Cornell,#6,Hank Beaman
197,Mac Stout,Pittburgh,#6,Hank Beaman
285,Gable Steveson,Minnesota,#1,Hank Beaman
DH,Dan Braunagel,Illinois,#20,Hank Beaman
125,Tanner Jordan,South Dakota State,#23,Demetri D'Orsaneo
133,Braeden Davis,Penn State,#8,Demetri D'Orsaneo
141,Sam Latona,Virginia Tech,#12,Demetri D'Orsaneo
149,Cross Wasilewski,Pennsylvania,#9,Demetri D'Orsaneo
157,Jacori Teemer,Iowa,#18,Demetri D'Orsaneo
165,Mitchell Mesenbrink,Penn State,#1,Demetri D'Orsaneo
174,Carson Kharchla,Ohio State,#9,Demetri D'Orsaneo
184,Jaxon Smith,Maryland,#8,Demetri D'Orsaneo
197,Josh Barr,Penn State,#4,Demetri D'Orsaneo
285,Josh Heindselman,Michigan,#6,Demetri D'Orsaneo
DH,Jordan Greer,Ohio,#20,Demetri D'Orsaneo
125,Matt Ramos,Purdue,#2,Greg Lee
133,Tyler Knox,Stanford,#13,Greg Lee
141,Brock Hardy,Nebraska,#1,Greg Lee
149,Jordan Williams,Little Rock,#8,Greg Lee
157,Jude Swisher,Pennsylvania,#14,Greg Lee
165,Cameron Amine,Oklahome State,#8,Greg Lee
174,Lorenzo Norman,Stanford,#16,Greg Lee
184,Carter Starocci,Penn State,#1,Greg Lee
197,Isiah Salazar,Minnesota,#10,Greg Lee
285,Colton Schultz,Arizona State,#9,Greg Lee
DH,Ed Scott,NC State,#22,Greg Lee
125,Jett Strickenberger,West Virginia,#6,Sam Schneider
133,Drake Ayala,Iowa,#2,Sam Schneider
141,Vance VomBaur,Minnesota,#6,Sam Schneider
149,Lachlan McNeil,UNC,#6,Sam Schneider
157,Tyler Kasak,Penn State,#1,Sam Schneider
165,Hunter Garvin,Stanford,#7,Sam Schneider
174,Cade DeVos,South Dakota State,#13,Sam Schneider
184,Ed Ruth,Illinois,#10,Sam Schneider
197,Stephen Buchanan,Iowa,#2,Sam Schneider
285,Yaraslau Slavikouski,Rutgers,#16,Sam Schneider
DH,Nik Stemmet,Stanford,#17,Sam Schneider
125,Caleb Smith,Nebraska,#9,Big Cat
133,Lucas Byrd,Illinois,#1,Big Cat
141,Josh Koderhandt,Navy,#4,Big Cat
149,Kyle Parco,Iowa,#5,Big Cat
157,Tommy Askey,Minnesota,#9,Big Cat
165,Julian Ramirez,Cornell,#5,Big Cat
174,Pat Kennedy,Iowa,#11,Big Cat
184,Max McEnelly,Minnesota,#3,Big Cat
197,Trey Munoz,Oregon State,#13,Big Cat
285,Luke Luffman,Illinois,#8,Big Cat
DH,Kai Orine,NC State,#26,Big Cat
125,Luke Lilledahl,Penn State,#1,Ty Walters
133,Ethan Oakley,UNC,#12,Ty Walters
141,Cael Happel,Northern Iowa,#5,Ty Walters
149,Caleb Henson,Virginia Tech,#1,Ty Walters
157,Caleb Fish,Oklahoma State,#12,Ty Walters
165,Michael Caliendo,Iowa,#3,Ty Walters
174,Simon Ruiz,Cornell,#5,Ty Walters
184,Silas Allred,Nebraska,#12,Ty Walters
197,Luke Surber,Oklahoma State,#8,Ty Walters
285,Ben Kueter,Iowa,#5,Ty Walters
DH,Paddy Gallagher,Ohio State,#26,Ty Walters
125,Dean Peterson,Rutgers,#12,Johnny Stram
133,Nasir Bailey,Little Rock,#3,Johnny Stram
141,CJ Composto,Pennsylvania,#10,Johnny Stram
149,Paniro Johnson,Iowa State,#4,Johnny Stram
157,Rafael Hipolito,Viginia Tech,#4,Johnny Stram
165,Terrell Barraclough,Utah Valley,#4,Johnny Stram
174,Keegan O`Toole,Missouri,#1,Johnny Stram
184,Bennett Berge,South Dakota State,#5,Johnny Stram
197,Zac Braunagel,Illinois,#9,Johnny Stram
285,Wyatt Hendrickson,Oklahoma State,#2,Johnny Stram
DH,Ryder Rogotzke,Ohio State,#26,Johnny Stram
125,Vince Robinson,NC State,#4,Jimbo Slice
133,Anthony Noto,Lock Haven,#15,Jimbo Slice
141,Andrew Alirez,Northern Colorado,#8,Jimbo Slice
149,Chance Lamer,Cal Poly,#14,Jimbo Slice
157,Ryder Downey,Northern Iowa,#6,Jimbo Slice
165,Andrew Sparks,Minnesota,#10,Jimbo Slice
174,Brevin Cassella,Binghamton,#6,Jimbo Slice
184,Iaasac Dean,Rider,#7,Jimbo Slice
197,AJ Ferrari,CSU Bakersfield,#3,Jimbo Slice
285,Nick Feldman,Ohio State,#12,Jimbo Slice
DH,Mickey O`Malley,Drexel,#22,Jimbo Slice
125,Eddie Ventresca,Virginia Tech,#3,Kelsey Walters
133,Dylan Shawver,Rutgers,#10,Kelsey Walters
141,Josh Saunders,Cornell,#20,Kelsey Walters
149,Ethan Stiles,Oregon State,#12,Kelsey Walters
157,Ethen Miller,Maryland,#10,Kelsey Walters
165,Simon Ruiz,Arizona State,#15,Kelsey Walters
174,Levi Haines,Penn State,#2,Kelsey Walters
184,Dustin Plott,Oklahoma State,#4,Kelsey Walters
197,Stephen Little,Little Rock,#12,Kelsey Walters
285,Greg Kerkvliet,Penn State,#3,Kelsey Walters
DH,Josh Edmond,Missouri,#23,Kelsey Walters
125,Richard Figueroa,Arizona State,#5,Mr.Ashcraft
133,Dom Serrano,Northern Colorado,#5,Mr.Ashcraft
141,Jesse Mendez,Ohio State,#3,Mr.Ashcraft
149,Kannon Webster,Illinois,#7,Mr.Ashcraft
157,Meyer Shapiro,Cornell,#2,Mr.Ashcraft
165,Chris Minto,Nebraska,#12,Mr.Ashcraft
174,Danny Wask,Navy,#7,Mr.Ashcraft
184,Reece Heller,Pittsburgh,#9,Mr.Ashcraft
197,Wyatt Voelker,Northern Iowa,#7,Mr.Ashcraft
285,Iaasac Trumble,NC State,#7,Mr.Ashcraft
DH,Donnell Washington,Indiana,#22,Mr.Ashcraft
125,Stevo Poulin,Northern Colorado,#10,Destroybeerscraft
133,Connor McGonagle,Virginia Tech,#6,Destroybeerscraft
141,Dylan Cedeno,Virginia,#11,Destroybeerscraft
149,Dylan D`Emilio,Ohio State,#13,Destroybeerscraft
157,Vinny Zerban,Northern Colorado,#7,Destroybeerscraft
165,Will Miller,Appalachian State,#13,Destroybeerscraft
174,Lenny Pinto,Nebraska,#8,Destroybeerscraft
184,Parker Keckeisen,Northern Iowa,#2,Destroybeerscraft
197,Jacob Cardenas,Michigan,#1,Destroybeerscraft
285,Owen Trephan,Lehigh,#4,Destroybeerscraft
DH,Noah Mulvaney,Bucknell,#17,Destroybeerscraft
125,Marc Anthony McGowan,Princeton,#13,Jawan Jones
133,Evan Frost,Iowa State,#11,Jawan Jones
141,Tagen Jamison,Oklahoma State,#7,Jawan Jones
149,Shayne Van Ness,Penn State,#3,Jawan Jones
157,Joey Blaze,Purdue,#8,Jawan Jones
165,Beau Mantanona,Michigan,#6,Jawan Jones
174,Dean Hamiti,Oklahoma State,#3,Jawan Jones
184,Gabe Arnold,Iowa,#11,Jawan Jones
197,Zac Glazier,South Dakota State,#14,Jawan Jones
285,Jimmy Mullen,Viginia Tech,#11,Jawan Jones
DH,Willie McDougald,Oklahoma,#21,Jawan Jones
125,Troy Spratley,Oklahoma State,#7,Lucas G
133,Zeth Romney,Cal Poly,#4,Lucas G
141,Beau Bartlett,Penn State,#2,Lucas G
149,Ridge Lovett,Nebraska,#2,Lucas G
157,Brandon Cannon,Ohio State,#5,Lucas G
165,Cam Steed,Missouri,#9,Lucas G
174,Garrett Thompson,Ohio,#4,Lucas G
184,Evan Bockman,Iowa State,#13,Lucas G
197,Michael Beard,Lehigh,#5,Lucas G
285,Dayton Pitzer,Pittsburgh,#10,Lucas G
DH,Jaden Abas,Stanford,#17,Lucas G
